browser, numberOfFeatures, fingerprintApis, addedFeatures, removedFeatures
chrome-49.json, 8119, 139, undefined, undefined
chrome-50.json, 6010, 140, 57, 2166
chrome-51.json, 6053, 141, 68, 25
chrome-52.json, 6122, 141, 127, 58
chrome-53.json, 6156, 141, 44, 10
chrome-54.json, 6208, 141, 70, 18
chrome-55.json, 6246, 141, 92, 54
chrome-56.json, 6807, 257, 732, 171
chrome-57.json, 6987, 259, 259, 79
chrome-58.json, 7005, 259, 38, 20
chrome-59.json, 7068, 259, 112, 49
chrome-60.json, 7197, 259, 142, 13
chrome-61.json, 7473, 268, 343, 67
chrome-62.json, 7484, 268, 20, 9
chrome-63.json, 7503, 269, 22, 3
chrome-64.json, 7494, 269, 46, 55
chrome-65.json, 7523, 270, 33, 4
chrome-66.json, 7788, 270, 596, 331
chrome-67.json, 7944, 270, 156, 0
chrome-68.json, 8002, 270, 162, 104
chrome-69.json, 8716, 271, 767, 53
chrome-70.json, 8424, 272, 189, 481
chrome-71.json, 8479, 272, 74, 19
chrome-72.json, 8511, 272, 61, 29
chrome-73.json, 8551, 272, 54, 14
chrome-74.json, 8669, 272, 126, 8
chrome-75.json, 8745, 272, 76, 0
chrome-76.json, 8804, 272, 107, 48
chrome-77.json, 8905, 272, 108, 7
chrome-78.json, 11678, 272, 2778, 5
chrome-79.json, 11908, 274, 238, 8
chrome-80.json, 11946, 274, 52, 14
chrome-81.json, 12170, 274, 236, 12
