browser, numberOfFeatures, fingerprintApis, addedFeatures, removedFeatures
firefox-45.json, 5030, 147, undefined, undefined
firefox-46.json, 5057, 147, 29, 2
firefox-47.json, 5067, 147, 13, 3
firefox-48.json, 5055, 148, 61, 73
firefox-49.json, 5268, 157, 233, 20
firefox-50.json, 5436, 157, 187, 19
firefox-51.json, 5735, 264, 304, 5
firefox-52.json, 5828, 263, 112, 19
firefox-53.json, 5853, 273, 142, 117
firefox-54.json, 5856, 273, 9, 6
firefox-55.json, 5958, 275, 157, 55
firefox-56.json, 5960, 275, 20, 18
firefox-57.json, 5991, 275, 36, 5
firefox-58.json, 5991, 275, 25, 25
firefox-59.json, 5964, 276, 95, 122
firefox-60.json, 5990, 276, 45, 19
firefox-61.json, 5994, 276, 30, 26
firefox-62.json, 5987, 276, 29, 36
firefox-63.json, 6069, 276, 94, 12
firefox-64.json, 6080, 276, 17, 6
firefox-65.json, 6123, 276, 44, 1
firefox-66.json, 6171, 276, 82, 34
firefox-67.json, 6173, 276, 33, 31
firefox-68.json, 6207, 276, 105, 71
firefox-69.json, 6245, 276, 130, 92
firefox-70.json, 6256, 276, 44, 33
firefox-71.json, 6332, 276, 192, 116
firefox-72.json, 6361, 271, 92, 63
firefox-73.json, 6364, 271, 14, 11
firefox-74.json, 6333, 271, 30, 61
firefox-75.json, 6370, 271, 92, 55
