feature,numOfAppearance,chromeFirst,chromeLast,firefoxFirst,firefoxLast
window.Object,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.__defineGetter__,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.__defineSetter__,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.hasOwnProperty,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.__lookupGetter__,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.__lookupSetter__,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.isPrototypeOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.propertyIsEnumerable,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.valueOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.get __proto__,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.prototype.toLocaleString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.assign,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.getOwnPropertyDescriptor,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.getOwnPropertyDescriptors,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.getOwnPropertyNames,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.getOwnPropertySymbols,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.is,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.preventExtensions,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.seal,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.create,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.defineProperties,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.defineProperty,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.freeze,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.getPrototypeOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.setPrototypeOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.isExtensible,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.isFrozen,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.isSealed,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.keys,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.entries,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Object.values,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Function,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Function.prototype,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Function.prototype.apply,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Function.prototype.bind,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Function.prototype.call,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Function.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.concat,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.pop,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.push,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.shift,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.unshift,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.slice,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.splice,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.includes,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.indexOf,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.keys,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.entries,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.forEach,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.filter,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.map,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.every,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.some,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.reduce,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.reduceRight,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
window.Array.prototype.toString,36,chrome-64.json,chrome-81.json,firefox-58.json,firefox-75.json
