feature,numOfAppearance,firefoxFirst,firefoxLast
window.Object,18,firefox-58.json,firefox-75.json
window.Object.prototype.__defineGetter__,18,firefox-58.json,firefox-75.json
window.Object.prototype.__defineSetter__,18,firefox-58.json,firefox-75.json
window.Object.prototype.hasOwnProperty,18,firefox-58.json,firefox-75.json
window.Object.prototype.__lookupGetter__,18,firefox-58.json,firefox-75.json
window.Object.prototype.__lookupSetter__,18,firefox-58.json,firefox-75.json
window.Object.prototype.isPrototypeOf,18,firefox-58.json,firefox-75.json
window.Object.prototype.propertyIsEnumerable,18,firefox-58.json,firefox-75.json
window.Object.prototype.toString,18,firefox-58.json,firefox-75.json
window.Object.prototype.valueOf,18,firefox-58.json,firefox-75.json
window.Object.prototype.get __proto__,18,firefox-58.json,firefox-75.json
window.Object.prototype.toLocaleString,18,firefox-58.json,firefox-75.json
window.Object.assign,18,firefox-58.json,firefox-75.json
window.Object.getOwnPropertyDescriptor,18,firefox-58.json,firefox-75.json
window.Object.getOwnPropertyDescriptors,18,firefox-58.json,firefox-75.json
window.Object.getOwnPropertyNames,18,firefox-58.json,firefox-75.json
window.Object.getOwnPropertySymbols,18,firefox-58.json,firefox-75.json
window.Object.is,18,firefox-58.json,firefox-75.json
window.Object.preventExtensions,18,firefox-58.json,firefox-75.json
window.Object.seal,18,firefox-58.json,firefox-75.json
window.Object.create,18,firefox-58.json,firefox-75.json
window.Object.defineProperties,18,firefox-58.json,firefox-75.json
window.Object.defineProperty,18,firefox-58.json,firefox-75.json
window.Object.freeze,18,firefox-58.json,firefox-75.json
window.Object.getPrototypeOf,18,firefox-58.json,firefox-75.json
window.Object.setPrototypeOf,18,firefox-58.json,firefox-75.json
window.Object.isExtensible,18,firefox-58.json,firefox-75.json
window.Object.isFrozen,18,firefox-58.json,firefox-75.json
window.Object.isSealed,18,firefox-58.json,firefox-75.json
window.Object.keys,18,firefox-58.json,firefox-75.json
window.Object.entries,18,firefox-58.json,firefox-75.json
window.Object.values,18,firefox-58.json,firefox-75.json
window.Function,18,firefox-58.json,firefox-75.json
window.Function.prototype,18,firefox-58.json,firefox-75.json
window.Function.prototype.apply,18,firefox-58.json,firefox-75.json
window.Function.prototype.bind,18,firefox-58.json,firefox-75.json
window.Function.prototype.call,18,firefox-58.json,firefox-75.json
window.Function.prototype.toString,18,firefox-58.json,firefox-75.json
window.Array,18,firefox-58.json,firefox-75.json
