Browser, FeaturesSize, FingerprintingApiSize, AddedFeatureSize, RemovedFeatureSize
opera-36, 8100, 139, 0, 0
opera-37, 6011, 140, 71, 2160
opera-38, 6054, 141, 68, 25
opera-39, 6107, 141, 123, 70
opera-40, 6145, 141, 48, 10
opera-41, 6193, 141, 70, 22
opera-42, 6231, 141, 92, 54
opera-43, 6792, 257, 732, 171
opera-44, 7000, 259, 287, 79
opera-45, 7018, 259, 38, 20
opera-46, 7081, 259, 112, 49
opera-47, 7210, 259, 142, 13
opera-48, 7489, 268, 351, 72
opera-49, 7508, 268, 32, 13
opera-50, 7527, 269, 22, 3
opera-51, 7518, 269, 46, 55
opera-52, 7547, 270, 33, 4
opera-53, 7812, 270, 598, 333
opera-54, 7968, 270, 156, 0
opera-55, 8026, 270, 162, 104
opera-56, 8729, 271, 771, 68
opera-57, 8437, 272, 189, 481
opera-58, 8442, 272, 74, 69
opera-60, 8546, 272, 147, 43
opera-62, 8728, 272, 192, 10
opera-63, 8787, 272, 107, 48
opera-64, 8888, 272, 108, 7
opera-65, 11662, 272, 2779, 5
opera-66, 11900, 274, 266, 28
opera-67, 11960, 274, 74, 14
opera-68, 12190, 274, 232, 2
