version,numOfFeatures,addedFeatures,removedFeatures
firefox-58.json, 5991, 0, 0
firefox-59.json, 5964, 95, 122
firefox-60.json, 5990, 45, 19
firefox-61.json, 5994, 30, 26
firefox-62.json, 5987, 29, 36
firefox-63.json, 6069, 94, 12
firefox-64.json, 6080, 17, 6
firefox-65.json, 6123, 44, 1
firefox-66.json, 6171, 82, 34
firefox-67.json, 6173, 33, 31
firefox-68.json, 6207, 105, 71
firefox-69.json, 6245, 130, 92
firefox-70.json, 6256, 44, 33
firefox-71.json, 6332, 192, 116
firefox-72.json, 6361, 92, 63
firefox-73.json, 6364, 14, 11
firefox-74.json, 6333, 30, 61
firefox-75.json, 6370, 92, 55
