browser, version, releaseDate
chrome, 81.0.4044.129, 7-04-2020
chrome, 80.0.3987.132, 4-02-2020
chrome, 79.0.3945.79, 10-12-2019
chrome, 78.0.3904.70, 22-10-2019
chrome, 77.0.3865.75, 10-09-2019
chrome, 76.0.3809.87, 30-07-2019
chrome, 75.0.3770.80, 4-06-2019
chrome, 74.0.3729.131, 23-04-2019
chrome, 73.0.3683.86, 12-03-2019
chrome, 72.0.3626.109, 29-01-2019
chrome, 71.0.3578.80, 4-12-2018
chrome, 70.0.3538.67, 16-10-2018
chrome, 69.0.3497.92, 4-09-2018
chrome, 68.0.3440.75, 24-07-2018
chrome, 67.0.3396.62, 29-05-2018
chrome, 66.0.3359.117, 17-04-2018
chrome, 65.0.3325.146, 6-03-2018
chrome, 64.0.3282.119, 24-01-2018
chrome, 63.0.3239.84, 6-12-2017
chrome, 62.0.3202.62, 17-10-2017
chrome, 61.0.3163.79, 5-09-2017
chrome, 60.0.3112, 25-07-2017
chrome, 59.0.3071, 5-06-2017
chrome, 58.0.3029, 19-04-2017
chrome, 57.0.2987, 9-03-2017
chrome, 56.0.2924, 25-01-2017
chrome, 55.0.2883, 1-12-2016
chrome, 54.0.2840, 12-10-2016
chrome, 53.0.2785, 31-08-2016
chrome, 52.0.2743, 20-07-2016
chrome, 51.0.2704, 25-05-2016
chrome, 50.0.2661, 13-04-2016
chrome, 49.0.2623, 2-03-2016
firefox, 75.0, 7-04-2020
firefox, 74.0, 10-03-2020
firefox, 73.0, 11-02-2020
firefox, 72.0, 7-01-2020
firefox, 71.0, 3-12-2019
firefox, 70.0, 22-10-2019
firefox, 69.0, 3-09-2019
firefox, 68.0, 9-07-2019
firefox, 67.0, 21-05-2019
firefox, 66.0, 19-03-2019
firefox, 65.0, 29-01-2019
firefox, 64.0, 11-12-2018
firefox, 63.0, 23-10-2018
firefox, 62.0, 5-09-2018
firefox, 61.0, 26-06-2018
firefox, 60.0, 9-05-2018
firefox, 59.0, 13-03-2018
firefox, 58.0, 23-01-2018
firefox, 57.0, 14-11-2017
firefox, 56.0, 28-09-2017
firefox, 55.0, 8-08-2017
firefox, 54.0, 13-06-2017
firefox, 53.0, 19-04-2017
firefox, 52.0, 7-03-2017
firefox, 51.0, 24-01-2017
firefox, 50.0, 15-11-2016
firefox, 49.0, 20-09-2016
firefox, 48.0, 2-08-2016
firefox, 47.0, 7-06-2016
firefox, 46.0, 26-04-2016
firefox, 45.0, 8-03-2016
