browser, version, releaseDate
chrome, 81.0.4044.129, 7-Apr-20
chrome, 80.0.3987.132, 4-Feb-20
chrome, 79.0.3945.79, 10-Dec-19
chrome, 78.0.3904.70, 22-Oct-19
chrome, 77.0.3865.75, 10-Sep-19
chrome, 76.0.3809.87, 30-Jul-19
chrome, 75.0.3770.80, 4-Jun-19
chrome, 74.0.3729.131, 23-Apr-19
chrome, 73.0.3683.86, 12-Mar-19
chrome, 72.0.3626.109, 29-Jan-19
chrome, 71.0.3578.80, 4-Dec-18
chrome, 70.0.3538.67, 16-Oct-18
chrome, 69.0.3497.92, 4-Sep-18
chrome, 68.0.3440.75, 24-Jul-18
chrome, 67.0.3396.62, 29-May-18
chrome, 66.0.3359.117, 17-Apr-18
chrome, 65.0.3325.146, 6-Mar-18
chrome, 64.0.3282.119, 24-Jan-18
firefox, 75.0, 7-Apr-20
firefox, 74.0, 10-Mar-20
firefox, 73.0, 11-Feb-20
firefox, 72.0, 7-Jan-20
firefox, 71.0, 3-Dec-19
firefox, 70.0, 22-Oct-19
firefox, 69.0, 3-Sep-19
firefox, 68.0, 9-Jul-19
firefox, 67.0, 21-May-19
firefox, 66.0, 19-Mar-19
firefox, 65.0, 29-Jan-19
firefox, 64.0, 11-Dec-18
firefox, 63.0, 23-Oct-18
firefox, 62.0, 5-Sep-18
firefox, 61.0, 26-Jun-18
firefox, 60.0, 9-May-18
firefox, 59.0, 13-Mar-18
firefox, 58.0, 23-Jan-18
