browser, version, releaseDate
chrome, 81.0.4044.129, 7-Apr-20
chrome, 80.0.3987.132, 4-Feb-20
chrome, 79.0.3945.79, 10-Dec-19
chrome, 78.0.3904.70, 22-Oct-19
chrome, 77.0.3865.75, 10-Sep-19
chrome, 76.0.3809.87, 30-Jul-19
chrome, 75.0.3770.80, 4-Jun-19
chrome, 74.0.3729.131, 23-Apr-19
chrome, 73.0.3683.86, 12-Mar-19
chrome, 72.0.3626.109, 29-Jan-19
chrome, 71.0.3578.80, 4-Dec-18
chrome, 70.0.3538.67, 16-Oct-18
chrome, 69.0.3497.92, 4-Sep-18
chrome, 68.0.3440.75, 24-Jul-18
chrome, 67.0.3396.62, 29-May-18
chrome, 66.0.3359.117, 17-Apr-18
chrome, 65.0.3325.146, 6-Mar-18
chrome, 64.0.3282.119, 24-Jan-18
chrome, 63.0.3239.84, 6-Dec-17
chrome, 62.0.3202.62, 17-Oct-17
chrome, 61.0.3163.79, 5-Sep-17
chrome, 60.0.3112, 25-Jul-17
chrome, 59.0.3071, 5-Jun-17
chrome, 58.0.3029, 19-Apr-17
chrome, 57.0.2987, 9-Mar-17
chrome, 56.0.2924, 25-Jan-17
chrome, 55.0.2883, 1-Dec-16
chrome, 54.0.2840, 12-Oct-16
chrome, 53.0.2785, 31-Aug-16
chrome, 52.0.2743, 20-Jul-16
chrome, 51.0.2704, 25-May-16
chrome, 50.0.2661, 13-Apr-16
chrome, 49.0.2623, 2-Mar-16
firefox, 75.0, 7-Apr-20
firefox, 74.0, 10-Mar-20
firefox, 73.0, 11-Feb-20
firefox, 72.0, 7-Jan-20
firefox, 71.0, 3-Dec-19
firefox, 70.0, 22-Oct-19
firefox, 69.0, 3-Sep-19
firefox, 68.0, 9-Jul-19
firefox, 67.0, 21-May-19
firefox, 66.0, 19-Mar-19
firefox, 65.0, 29-Jan-19
firefox, 64.0, 11-Dec-18
firefox, 63.0, 23-Oct-18
firefox, 62.0, 5-Sep-18
firefox, 61.0, 26-Jun-18
firefox, 60.0, 9-May-18
firefox, 59.0, 13-Mar-18
firefox, 58.0, 23-Jan-18
firefox, 57.0, 14-Nov-17
firefox, 56.0, 28-Sep-17
firefox, 55.0, 8-Aug-17
firefox, 54.0, 13-Jun-17
firefox, 53.0, 19-Apr-17
firefox, 52.0, 7-Mar-17
firefox, 51.0, 24-Jan-17
firefox, 50.0, 15-Nov-16
firefox, 49.0, 20-Sep-16
firefox, 48.0, 2-Aug-16
firefox, 47.0, 7-Jun-16
firefox, 46.0, 26-Apr-16
firefox, 45.0, 8-Mar-16
opera, 68.0, 22-Apr-20
opera, 67.0, 25-Feb-20
opera, 66.0, 8-Jan-20
opera, 65.0, 14-Nov-19
opera, 64.0, 8-Oct-19
opera, 63.0, 20-Aug-19
opera, 62.0, 27-Jun-19
opera, 61, skipped
opera, 60.0, 9-Apr-19
opera, 59, skipped
opera, 58.0, 23-Jan-19
opera, 57.0, 28-Nov-18
opera, 56.0, 25-Sep-18
opera, 55.0, 16-Aug-18
opera, 54.0, 28-Jun-18
opera, 53.0, 10-May-18
opera, 52.0, 22-Mar-18
opera, 51.0, 7-Feb-18
opera, 50.0, 4-Jan-18
opera, 49.0, 8-Nov-17
opera, 48.0, 27-Sep-17
opera, 47.0, 9-Aug-17
opera, 46.0, 22-Jun-17
opera, 45.0, 10-May-17
opera, 44.0, 22-Mar-17
opera, 43.0, 7-Feb-17
opera, 42.0, 13-Dec-16
opera, 41.0, 25-Oct-16
opera, 40.0, 20-Sep-16
opera, 39.0, 2-Aug-16
opera, 38.0, 8-June-16
opera, 37.0, 4-May-16
opera, 36.0, 15-Mar-16
